      NO              DATA              UNIT           TIME  
    339               32.8                 C           05-17-12/14:04:51  
    340               33.5                 C           05-17-12/14:04:52  
    341               33.5                 C           05-17-12/14:04:52  
    342               32.8                 C           05-17-12/14:04:53  
    343               33.8                 C           05-17-12/14:04:53  
    344               33.8                 C           05-17-12/14:04:54  
    345               33.8                 C           05-17-12/14:04:54  
    346               34.1                 C           05-17-12/14:04:54  
    347               34.1                 C           05-17-12/14:04:55  
    348               34.1                 C           05-17-12/14:04:55  
    349               34.1                 C           05-17-12/14:04:56  
    350               34.1                 C           05-17-12/14:04:56  
    351               34.5                 C           05-17-12/14:04:57  
    352               34.5                 C           05-17-12/14:04:57  
    353               33.6                 C           05-17-12/14:04:58  
    354               33.5                 C           05-17-12/14:04:58  
    355               33.6                 C           05-17-12/14:04:59  
    356               33.2                 C           05-17-12/14:04:59  
    357               33.2                 C           05-17-12/14:05:00  
    358               33.5                 C           05-17-12/14:05:00  
    359               33.5                 C           05-17-12/14:05:01  
    360               33.5                 C           05-17-12/14:05:01  
    361               33.5                 C           05-17-12/14:05:02  
    362               33.5                 C           05-17-12/14:05:02  
    363               33.2                 C           05-17-12/14:05:02  
    364               33.2                 C           05-17-12/14:05:03  
    365               32.7                 C           05-17-12/14:05:03  
    366               32.7                 C           05-17-12/14:05:04  
    367               33.1                 C           05-17-12/14:05:04  
    368               33.7                 C           05-17-12/14:05:05  
    369               33.7                 C           05-17-12/14:05:05  
    370               34.1                 C           05-17-12/14:05:06  
    371               34.1                 C           05-17-12/14:05:06  
    372               34.3                 C           05-17-12/14:05:07  
    373               34.0                 C           05-17-12/14:05:07  
    374               34.0                 C           05-17-12/14:05:08  
    375               34.0                 C           05-17-12/14:05:08  
    376               33.6                 C           05-17-12/14:05:09  
    377               33.6                 C           05-17-12/14:05:09  
    378               33.6                 C           05-17-12/14:05:10  
    379               33.6                 C           05-17-12/14:05:10  
    380               32.7                 C           05-17-12/14:05:10  
    381               32.7                 C           05-17-12/14:05:11  
    382               32.7                 C           05-17-12/14:05:11  
    383               32.7                 C           05-17-12/14:05:12  
    384               32.7                 C           05-17-12/14:05:12  
    385               32.7                 C           05-17-12/14:05:13  
    386               32.7                 C           05-17-12/14:05:13  
    387               32.7                 C           05-17-12/14:05:14  
    388               32.7                 C           05-17-12/14:05:14  
    389               33.0                 C           05-17-12/14:05:15  
    390               33.3                 C           05-17-12/14:05:15  
    391               33.7                 C           05-17-12/14:05:16  
    392               33.7                 C           05-17-12/14:05:16  
    393               33.7                 C           05-17-12/14:05:17  
    394               33.7                 C           05-17-12/14:05:17  
    395               33.3                 C           05-17-12/14:05:18  
    396               31.3                 C           05-17-12/14:05:18  
    397               31.3                 C           05-17-12/14:05:18  
    398               29.6                 C           05-17-12/14:05:19  
    399               29.6                 C           05-17-12/14:05:19  
    400               29.6                 C           05-17-12/14:05:20  
    401               27.7                 C           05-17-12/14:05:20  
    402               27.7                 C           05-17-12/14:05:21  
    403               27.0                 C           05-17-12/14:05:21  
    404               27.0                 C           05-17-12/14:05:22  
    405               27.0                 C           05-17-12/14:05:22  
    406               24.0                 C           05-17-12/14:05:23  
    407               24.0                 C           05-17-12/14:05:23  
